unique_id	key	value
52	category_id	210_10118_1023
52	category_id	210_10118_225_1007
52	category_id	210_10118_225_1009
52	category_id	210_1048
52	category_id	210_225_1007
52	portal_id	1
52	portal_id	37
52	portal_id	5
52	portal_id	6
52	Type	Directional
53	category_id	210_10118_1023
53	category_id	210_10118_225_1007
53	category_id	210_10118_225_1009
53	category_id	210_1048
53	category_id	210_225_1007
53	portal_id	1
53	portal_id	37
53	portal_id	5
53	portal_id	6
53	Type	Directional
54	category_id	210_10118_1023
54	category_id	210_10118_225_1007
54	category_id	210_10118_225_1009
54	category_id	210_1048
54	category_id	210_225_1007
54	portal_id	1
54	portal_id	37
54	portal_id	5
54	portal_id	6
54	Type	Directional
55	category_id	210_10118_1023
55	category_id	210_10118_225_1007
55	category_id	210_10118_225_1009
55	category_id	210_1048
55	category_id	210_225_1007
55	portal_id	1
55	portal_id	37
55	portal_id	5
55	portal_id	6
55	Type	Directional
56	category_id	210_10118_1023
56	category_id	210_10118_225_1007
56	category_id	210_10118_225_1009
56	category_id	210_1048
56	category_id	210_225_1007
56	portal_id	1
56	portal_id	37
56	portal_id	5
56	portal_id	6
56	Type	Directional
57	category_id	210_10118_1023
57	category_id	210_10118_225_1007
57	category_id	210_10118_225_1009
57	category_id	210_1048
57	category_id	210_225_1007
57	portal_id	1
57	portal_id	37
57	portal_id	5
57	portal_id	6
57	Type	Directional
58	category_id	210_10118_1023
58	category_id	210_10118_225_1007
58	category_id	210_10118_225_1009
58	category_id	210_1048
58	category_id	210_225_1007
58	portal_id	1
58	portal_id	37
58	portal_id	5
58	portal_id	6
58	Type	Directional
59	category_id	596_1049
59	category_id	596_219_1030
59	category_id	596_219_740_1007
59	category_id	596_219_740_1009
59	portal_id	1
59	portal_id	37
59	portal_id	5
59	portal_id	6
61	category_id	210_10118_1023
61	category_id	210_10118_225_1007
61	category_id	210_10118_225_1009
61	category_id	210_1048
61	category_id	210_225_1007
61	portal_id	1
61	portal_id	37
61	portal_id	5
61	portal_id	6
61	Type	Directional
62	category_id	210_10118_1023
62	category_id	210_10118_225_1007
62	category_id	210_10118_225_1009
62	category_id	210_1048
62	category_id	210_225_1007
62	portal_id	1
62	portal_id	37
62	portal_id	5
62	portal_id	6
62	Type	Directional
63	category_id	210_10118_1023
63	category_id	210_10118_225_1007
63	category_id	210_10118_225_1009
63	category_id	210_1048
63	category_id	210_225_1007
63	portal_id	1
63	portal_id	37
63	portal_id	5
63	portal_id	6
63	Type	Directional
65	category_id	210_10118_1023
65	category_id	210_10118_225_1007
65	category_id	210_10118_225_1009
65	category_id	210_1048
65	category_id	210_225_1007
65	portal_id	1
65	portal_id	37
65	portal_id	5
65	portal_id	6
65	Type	Directional
66	category_id	210_10118_1023
66	category_id	210_10118_225_1007
66	category_id	210_10118_225_1009
66	category_id	210_1048
66	category_id	210_225_1007
66	portal_id	1
66	portal_id	37
66	portal_id	5
66	portal_id	6
66	Type	Directional
67	category_id	210_10118_1023
67	category_id	210_10118_225_1007
67	category_id	210_10118_225_1009
67	category_id	210_1048
67	category_id	210_225_1007
67	portal_id	1
67	portal_id	37
67	portal_id	5
67	portal_id	6
67	Type	Directional
68	category_id	210_10118_1023
68	category_id	210_10118_225_1007
68	category_id	210_10118_225_1009
mmid_fit	category_id	210_10118_1023~|TESTSTETSTTETST
mmid_fit	portal_id	6~|TESTSTETSTTETST2
mmid_fit	category_id	210_225_1007~|TESTSTETSTTETST3
mmid_fit	category_id	210_10118_1023~|TESTSTETSTTETST4
mmid_fit	category_id	210_225_1007~|TESTSTETSTTETST5
mmid_fit	category_id	210_225_1007~|TESTSTETSTTETST6
mmid_fit	category_id	210_225_1007~|TESTSTETSTTETST7
mmid_fit	category_id	210_225_1007~|TESTSTETSTTETST8
