Name,Type
p_tppg,ALPHA
p_fr,ALPHA
p_fsthn,ALPHA
p_trvg,ALPHA
p_cat,ALPHA
p_cas,ALPHA
p_upn,ALPHA
p_dt,INTEGER
p_teaser,ALPHA
p_id,ALPHA
p_rca,ALPHA
p_cathn,ALPHA
p_sn,ALPHA
p_cathi,ALPHA
p_si,ALPHA
p_upshifted,ALPHA
p_apn,ALPHA
p_shpn,ALPHA
p_apphn,ALPHA
p_apphi,ALPHA
p_usn,ALPHA
p_chn,ALPHA
p_mofo,ALPHA
p_akey,ALPHA
p_app,ALPHA
p_cathi_d,ALPHA
p_apphi_d,ALPHA
p_trvg_d,ALPHA
p_tppg_d,ALPHA
p_cathi_np,ALPHA
p_apphi_np,ALPHA
p_fsthn_d,ALPHA
p_item_product_id,ALPHA
p_item_id,ALPHA
p_glyph_d,ALPHA
p_alphabetsn,ALPHA
p_apn_search,ALPHA
p_fsthn_search,ALPHA
p_sn_search,ALPHA
p_itemdiff_search,ALPHA
p_upn_search,ALPHA
p_item_ucpno,ALPHA
p_item_cpno,ALPHA
p_item_ucvendorno,ALPHA
p_item_cvendorno,ALPHA
p_to_item_crossref,ALPHA
p_fisherBrand,ALPHA
p_ci_d,ALPHA
p_AccessoryFlag,ALPHA
p_ci_si_d,ALPHA
p_isChemical,ALPHA
p_isSciEd,ALPHA
p_cathi_r,ALPHA
p_ci,ALPHA
p_ci_si,ALPHA
p_prio,ALPHA
p_tlid,ALPHA
p_tslu,ALPHA
p_type,ALPHA
p_vendorNumber,ALPHA
p_ucpartNumberShifted,ALPHA
p_chnShifted,ALPHA
p_storeId,ALPHA
temp_scied_path,ALPHA
temp_fsthn_d,ALPHA
p_scied_exclusion,ALPHA
p_recType,ALPHA
p_countryId,ALPHA
p_agilityId,ALPHA
p_languageId,ALPHA
p_groupType,ALPHA
p_teaserSearch,ALPHA
p_productLineId,ALPHA
p_trueHomeId,ALPHA
p_has_item_msds,ALPHA
p_crossreactivity,ALPHA
p_genesymbols,ALPHA
p_geneaccessionno,ALPHA
p_antigen_applications,ALPHA
p_discontinueditem,ALPHA
p_host,ALPHA
p_clone,ALPHA
p_conjugate,ALPHA
p_immunogen,ALPHA
p_classification,ALPHA
p_antigen,ALPHA
p_size,ALPHA
p_from_item_crossref,ALPHA
p_promotion,ALPHA
p_catentryId,ALPHA
p_Popularity,INTEGER
p_supplierRank,INTEGER
p_productType,ALPHA
p_productBrand,ALPHA
p_mcs_cd,ALPHA
p_prodDiscontinued,ALPHA
p_3pDesc,ALPHA
p_cdcCode,ALPHA
p_productTypeCode,ALPHA
p_cathi_np_ns,ALPHA
p_stdPrice,ALPHA
p_altPrice,ALPHA
p_stdUom,ALPHA
p_altUom,ALPHA
p_stdConvFactor,ALPHA
p_altConvFactor,ALPHA
p_fshpromotion,ALPHA
