Source,Target,Target Type,Match Mode
cas,p_cas,Property,N/A
cat,p_cat,Property,N/A
cathi,p_cathi,Property,N/A
cathn,p_cathn,Property,N/A
dt,p_dt,Property,N/A
fr,p_fr,Property,N/A
fsthn,p_fsthn,Property,N/A
id,p_id,Property,N/A
rca,p_rca,Property,N/A
si,p_si,Property,N/A
sn,p_sn,Property,N/A
teaser,p_teaser,Property,N/A
tppg,p_tppg,Property,N/A
trvg,p_trvg,Property,N/A
upn,p_upn,Property,N/A
upshifted,p_upshifted,Property,N/A
apn,p_apn,Property,N/A
shpn,p_shpn,Property,N/A
apphn,p_apphn,Property,N/A
apphi,p_apphi,Property,N/A
sn,Supplier,Dimension,AUTO_GEN
mofo,p_mofo,Property,N/A
akey,p_akey,Property,N/A
app,p_app,Property,N/A
cathi_d,p_cathi_d,Property,N/A
apphi_d,p_apphi_d,Property,N/A
trvg_d,p_trvg_d,Property,N/A
tppg_d,p_tppg_d,Property,N/A
cathi_np,p_cathi_np,Property,N/A
apphi_np,p_apphi_np,Property,N/A
ci_d,eStore,Dimension,MUST_MATCH
usn,p_usn,Property,N/A
fsthn_d,p_fsthn_d,Property,N/A
item_product_id,p_item_product_id,Property,N/A
itemId,p_item_id,Property,N/A
Endeca,Endeca,Dimension,AUTO_GEN
glyph_d,Special Interests,Dimension,AUTO_GEN
glyph_d,p_glyph_d,Property,N/A
alphabetSn,p_alphabetsn,Property,N/A
alphabetSn,AlphabetSn,Dimension,AUTO_GEN
chn,p_chn,Property,N/A
apnSearch,p_apn_search,Property,N/A
fsthnsearch,p_fsthn_search,Property,N/A
snsearch,p_sn_search,Property,N/A
itemdiffsearch,p_itemdiff_search,Property,N/A
upnsearch,p_upn_search,Property,N/A
ucpartNumber,p_item_ucpno,Property,N/A
cpartNumber,p_item_cpno,Property,N/A
ucvendorPartNumber,p_item_ucvendorno,Property,N/A
cvendorPartNumber,p_item_cvendorno,Property,N/A
toItemCrossRef,p_to_item_crossref,Property,N/A
A_2330,Capacity,Dimension,AUTO_GEN
A_6965,Material,Dimension,AUTO_GEN
A_4803,Material,Dimension,AUTO_GEN
A_5226,CLIA Complexity,Dimension,AUTO_GEN
A_7001,Color,Dimension,AUTO_GEN
A_4555,Cassette Type,Dimension,AUTO_GEN
A_3629,Volume,Dimension,AUTO_GEN
A_5431,Antigen,Dimension,AUTO_GEN
A_5312,Antibody Type,Dimension,AUTO_GEN
A_6986,Size,Dimension,AUTO_GEN
A_641,Purity Grade,Dimension,AUTO_GEN
fisherBrand,p_fisherBrand,Property,N/A
ci_d,p_ci_d,Property,N/A
tppg_d,PrefProd,Dimension,AUTO_GEN
AccessoryFlag,p_AccessoryFlag,Property,N/A
ci_si_d,p_ci_si_d,Property,N/A
isChemical,p_isChemical,Property,N/A
A_509,Packaging Type,Dimension,AUTO_GEN
A_552,Package Size,Dimension,AUTO_GEN
isSciEd,p_isSciEd,Property,N/A
cathi_r,p_cathi_r,Property,N/A
ci,p_ci,Property,N/A
ci_si,p_ci_si,Property,N/A
prio,p_prio,Property,N/A
tslu,p_tslu,Property,N/A
tlid,p_tlid,Property,N/A
type,p_type,Property,N/A
vendorNumber,p_vendorNumber,Property,N/A
chnShifted,p_chnShifted,Property,N/A
ucpartNumberShifted,p_ucpartNumberShifted,Property,N/A
storeId,p_storeId,Property,N/A
recType,p_recType,Property,N/A
countryId,p_countryId,Property,N/A
agilityId,p_agilityId,Property,N/A
languageId,p_languageId,Property,N/A
groupType,p_groupType,Property,N/A
teaserSearch,p_teaserSearch,Property,N/A
productLineId,p_productLineId,Property,N/A
trueHomeId,p_trueHomeId,Property,N/A
scied_exclusion,p_scied_exclusion,Property,N/A
msdsAttr,p_has_item_msds,Property,N/A
A_6224,Research Discipline,Dimension,AUTO_GEN
A_4955,Classification,Dimension,AUTO_GEN
A_3678,Label,Dimension,AUTO_GEN
A_2728,Format,Dimension,AUTO_GEN
A_3500,Clone,Dimension,AUTO_GEN
A_2072,Isotype,Dimension,AUTO_GEN
A_6183,p_genesymbols,Property,N/A
A_6182,p_geneaccessionno,Property,N/A
A_ANTIBODY_APPLICATIONS,Antibody Applications,Dimension,AUTO_GEN
A_1026,p_antigen_applications,Property,N/A
A_2001,Regulatory Status,Dimension,AUTO_GEN
discontinueditem,p_discontinueditem,Property,N/A
A_5325,Reactivity,Dimension,AUTO_GEN
A_2219,Host,Dimension,AUTO_GEN
A_2219,p_host,Property,N/A
A_5555,p_crossreactivity,Property,N/A
A_3500,p_clone,Property,N/A
A_3678,p_conjugate,Property,N/A
A_5556,p_immunogen,Property,N/A
A_5431_cleaned,p_antigen,Property,N/A
A_4955,p_classification,Property,N/A
A_2257,p_size,Property,N/A
trvg_d,d_trvg_d,Dimension,AUTO_GEN
fromItemCrossRef,p_from_item_crossref,Property,N/A
PROMOTION,p_promotion,Property,N/A
ID,p_catentryId,Property,N/A
A_6988,Absorbency,Dimension,AUTO_GEN
A_7160,Accuracy,Dimension,AUTO_GEN
A_7879,Aspirator Plug,Dimension,AUTO_GEN
A_6996,Autoclavable,Dimension,AUTO_GEN
A_7000,Culture Collection Code,Dimension,AUTO_GEN
A_7161,Bulb Volume,Dimension,AUTO_GEN
A_7162,Calibrated,Dimension,AUTO_GEN
A_6999,English Capacity,Dimension,AUTO_GEN
A_6969,Metric Capacity,Dimension,AUTO_GEN
